4519;1;48;1;GIRAFFAS;8;19950331;1;;;19940516;5611203;;RUA;HENRIQUE SAVI;15 55;LOJA UN2A 01 TERREO;JARDIM AEROPORTO;17012205;SP;6219;;;;;;;
8638;1;79;1;AGROPECUARIA FAGUNDES;8;20150209;73;;;19940524;4771704;;AVENIDA;EUCLIDES DA CUNHA;474;SALAO;CENTRO;19275000;SP;7255;;;;;;;
11748;1;90;1;;4;20181219;63;;;19940531;4721102;;RUA;JOSE BONIFACIO;110;;VILA DINIZ;15013150;SP;7097;;;;;;;
12027;1;2;1;;8;20081231;71;;;19940608;4721104;;AVENIDA;INDIANOPOLIS;3304;;SAUDE;4062003;SP;7107;;;;;;;
13289;1;83;1;JS MATERIAIS DE CONSTRUCAO;2;20040123;0;;;19940601;4744099;;RUA;SALVADOR TAMAIOLLI;165;;PORTO BELLO I;13660000;SP;6915;19;35811286;;;;;CONTATO@LEONECONTABIL.COM.BR
13623;1;7;1;MARISTELA INDUSTRIA E COMERCIO DE SORVETES;8;20081231;71;;;19730821;1053800;;;QI 4 LOTE;8;;TAGUATINGA;71920540;DF;9701;;;;;;;
17389;1;88;1;;4;20181004;63;;;19940613;6209100;;RUA;GODOI COLACO;150;;VILA CORDEIRO;4582030;SP;7107;11;5352348;;;11;5352348;
18944;1;96;1;MONTANHES;8;19960506;1;;;19940621;4693100;4691500;AVENIDA;GALEAO CARVALHAL;17;BAIXOS;GONZAGA;11055201;SP;7071;;;;;;;
19204;1;74;1;;8;20121004;1;;;19940616;4729601;;AVENIDA;IGUATEMI;777;;VILA BRANDINA;13092500;SP;6291;;;;;;;
22223;1;50;1;;8;20161010;1;;;19940628;4772500;;RUA;INDIA PARAGUACU;45;;NOVA GUARA;12516640;SP;6469;;;;;;;
23015;1;75;1;FLORICULTURA EVA;4;20180911;63;;;19940629;4789002;;AVENIDA;A;98;;JD PRIMAVERA;6056040;SP;6789;;;;;;;
24354;1;76;1;JUCELI;8;20080516;54;;;19940706;4755502;;AVENIDA;N S DE FATIMA;60;;JORDANOPOLIS;7400015;SP;6177;;;;;;;
26708;1;11;1;BAR E MERCEARIA RODRIGUES;8;20081231;71;;;19820121;5611203;;AVENIDA;JOSE LUDOVICO;S/N;LOTE 14 QD P;CENTRO;73751469;GO;9595;;;;;;;
28664;1;69;1;;2;20040828;0;;;19940808;4672900;8211300;RUA;ROCHA;173;;MEU CANTINHO;8664650;SP;7151;19;37134004;;;;;CONTATO@CONCEITOSCONTABIL.COM.BR
28759;1;82;1;;4;20210112;63;;;19940804;1413401;1413403,329;AVENIDA;SALINAS;257;;BOSQUE EUCALIPTOS;12233590;SP;7099;;;;;;;
29194;1;58;1;GRANJA RECANTO;8;20130611;1;;;19940824;4729699;;RUA;A;2447;;VILA NOVA;19250000;SP;7011;;;;;;;
